index,CAP,No_CAP,SW,GW,Mix
1853,0.0,,,,
1856,,,40.0,,
1857,,60.0,,,
1860,18.0,,,2.0,
1864,,,,10.0,
1868,,,,26.0,
1870,,,,22.4,
1871,,,,0.0,
1872,,10.0,,,0.0
1873,,,,,
1875,,,,7.0,
1876,,,15.0,,
1877,,8.0,,,
1878,,,,10.4,
1879,70.0,,,58.5,
1880,12.142857142857142,2.0,50.0,12.818181818181818,10.4
1881,34.0,,,9.0,
1882,50.0,10.0,,53.5,55.0
1883,143.66666666666666,,50.0,81.73913043478261,200.0
1884,0.0,,,0.0,0.0
1885,0.0,10.0,,6.333333333333333,
1886,,0.0,,16.0,
1887,,,,0.0,70.0
1888,,,,7.4,10.0
1889,,6.0,,22.0,
1890,59.5,21.142857142857142,,32.833333333333336,2.6666666666666665
1891,,,,7.5,
1892,,,,160.0,
1893,60.0,5.0,,121.0,3.0
1894,,,,40.0,
1895,100.0,17.0,,9.833333333333334,13.0
1896,22.5,0.0,,8.75,0.0
1897,,300.0,,14.0,6.0
1898,13.0,0.0,,11.857142857142858,
1899,36.333333333333336,60.25,,85.53846153846153,3.3333333333333335
1900,31.958333333333332,22.9375,48.875,28.746753246753247,32.93333333333333
1901,25.0,16.0,,74.44444444444444,27.0
1902,0.0,,,206.5,0.0
1903,0.0,,20.0,42.916666666666664,25.5
1904,,0.0,,21.428571428571427,
1905,30.666666666666668,60.0,42.0,29.375,0.0
1906,11.0,4.333333333333333,,66.89285714285714,
1907,29.5,32.25,380.0,25.63157894736842,
1908,58.4,,10.0,68.96296296296296,42.0
1909,70.0,30.0,,18.535714285714285,11.0
1910,40.68181818181818,14.166666666666666,88.33333333333333,48.40625,66.66666666666667
1911,57.5,,281.0,22.0,20.0
1912,95.58333333333333,0.0,25.0,44.44444444444444,50.75
1913,252.0,0.0,,29.137931034482758,41.166666666666664
1914,107.25,224.0,52.5,51.2037037037037,29.5
1915,113.4,39.5,63.833333333333336,50.51020408163265,135.06666666666666
1916,141.33333333333334,20.0,,17.3855421686747,44.833333333333336
