In_year,PDSI,PHDI
1975,-1.4158333333333335,-1.4158333333333335
1976,-0.96,-0.8816666666666665
1977,-1.9149999999999998,-1.9149999999999998
1978,2.998333333333333,2.8316666666666666
1979,5.378333333333334,5.378333333333334
1980,1.7091666666666665,3.6591666666666662
1981,-2.1966666666666668,-2.1966666666666668
1982,0.9824999999999999,0.44333333333333336
1983,4.949166666666666,4.949166666666666
1984,0.3183333333333333,1.91
1985,3.0866666666666664,3.3808333333333334
1986,-0.2416666666666667,0.5291666666666667
1987,0.29083333333333333,0.5683333333333335
1988,0.20916666666666664,0.6649999999999999
1989,-3.215,-3.215
1990,-1.3475,-2.733333333333334
1991,0.5308333333333334,0.5533333333333333
1992,3.4441666666666664,3.4441666666666664
1993,3.3241666666666667,5.635833333333333
1994,-0.8383333333333333,-0.40916666666666673
1995,0.6308333333333332,1.5491666666666666
1996,-4.1375,-4.1375
1997,-1.8641666666666665,-3.1491666666666664
1998,1.3683333333333332,2.311666666666666
1999,-1.2725000000000002,-1.4075
2000,-2.5341666666666667,-3.545833333333333
2001,-0.10249999999999997,-0.8066666666666666
2002,-4.6000000000000005,-4.6000000000000005
2003,-3.6183333333333336,-3.6183333333333336
2004,-2.0308333333333333,-3.1500000000000004
2005,1.653333333333333,3.5441666666666674
2006,-3.385,-3.385
2007,-3.9325000000000006,-3.9325000000000006
2008,-1.473333333333333,-1.473333333333333
2009,-2.695,-3.035833333333333
2010,0.8650000000000001,0.5133333333333333
2011,-2.4966666666666666,-2.4966666666666666
2012,-3.5475,-3.5475
2013,-2.658333333333333,-2.658333333333333
2014,-3.2883333333333327,-3.2883333333333327
2015,-0.5975,-1.5258333333333332
2016,-2.0558333333333336,-2.0558333333333336
2017,-1.7175,-1.7175
2018,-3.3425,-4.258333333333334
2019,0.5491666666666667,-0.13749999999999996
2020,1.19,1.19
