In_year,PDSI
1975,-1.4158333333333335
1976,-0.96
1977,-1.915
1978,2.998333333333333
1979,5.378333333333334
1980,1.7091666666666667
1981,-2.1966666666666668
1982,0.9824999999999999
1983,4.949166666666667
1984,0.3183333333333333
1985,3.0866666666666664
1986,-0.24166666666666667
1987,0.29083333333333333
1988,0.2091666666666667
1989,-3.215
1990,-1.3475
1991,0.5308333333333334
1992,3.4441666666666664
1993,3.3241666666666667
1994,-0.8383333333333334
1995,0.6308333333333332
1996,-4.1375
1997,-1.8641666666666667
1998,1.3683333333333334
1999,-1.2725
2000,-2.5341666666666667
2001,-0.1025
2002,-4.6000000000000005
2003,-3.6183333333333336
2004,-2.0308333333333333
2005,1.6533333333333333
2006,-3.385
2007,-3.9324999999999997
2008,-1.4733333333333334
2009,-2.695
2010,0.8649999999999999
2011,-2.4966666666666666
2012,-3.5475
2013,-2.658333333333333
2014,-3.2883333333333336
2015,-0.5975
2016,-2.0558333333333336
2017,-1.7175
2018,-3.3425
2019,0.5525
2020,-0.9666666666666667
2021,-3.828333333333333
2022,-1.5683333333333334
2023,0.808
