In_year,PDSI,wet,dry,PHDI
1975,-1.4158333333333335,3,-3,-1.4158333333333335
1976,-0.96,3,-3,-0.8816666666666667
1977,-1.915,3,-3,-1.915
1978,2.998333333333333,3,-3,2.8316666666666666
1979,5.378333333333334,3,-3,5.378333333333334
1980,1.7091666666666667,3,-3,3.659166666666667
1981,-2.1966666666666668,3,-3,-2.1966666666666668
1982,0.9824999999999999,3,-3,0.44333333333333336
1983,4.949166666666667,3,-3,4.949166666666667
1984,0.3183333333333333,3,-3,1.91
1985,3.0866666666666664,3,-3,3.3808333333333334
1986,-0.24166666666666667,3,-3,0.5291666666666667
1987,0.29083333333333333,3,-3,0.5683333333333334
1988,0.2091666666666667,3,-3,0.665
1989,-3.215,3,-3,-3.215
1990,-1.3475,3,-3,-2.733333333333333
1991,0.5308333333333334,3,-3,0.5533333333333333
1992,3.4441666666666664,3,-3,3.4441666666666664
1993,3.3241666666666667,3,-3,5.635833333333333
1994,-0.8383333333333334,3,-3,-0.40916666666666673
1995,0.6308333333333332,3,-3,1.5491666666666666
1996,-4.1375,3,-3,-4.1375
1997,-1.8641666666666667,3,-3,-3.1491666666666664
1998,1.3683333333333334,3,-3,2.311666666666667
1999,-1.2725,3,-3,-1.4075
2000,-2.5341666666666667,3,-3,-3.545833333333333
2001,-0.1025,3,-3,-0.8066666666666666
2002,-4.6000000000000005,3,-3,-4.6000000000000005
2003,-3.6183333333333336,3,-3,-3.6183333333333336
2004,-2.0308333333333333,3,-3,-3.15
2005,1.6533333333333333,3,-3,3.544166666666667
2006,-3.385,3,-3,-3.385
2007,-3.9324999999999997,3,-3,-3.9324999999999997
2008,-1.4733333333333334,3,-3,-1.4733333333333334
2009,-2.695,3,-3,-3.035833333333333
2010,0.8649999999999999,3,-3,0.5133333333333333
2011,-2.4966666666666666,3,-3,-2.4966666666666666
2012,-3.5475,3,-3,-3.5475
2013,-2.658333333333333,3,-3,-2.658333333333333
2014,-3.2883333333333336,3,-3,-3.2883333333333336
2015,-0.5975,3,-3,-1.5258333333333332
2016,-2.0558333333333336,3,-3,-2.0558333333333336
2017,-1.7175,3,-3,-1.7175
2018,-3.3425,3,-3,-4.258333333333334
2019,0.5525,3,-3,-0.13249999999999998
2020,-0.9666666666666667,3,-3,-0.8125
2021,-3.828333333333333,3,-3,-3.828333333333333
2022,-1.5683333333333334,3,-3,-3.2091666666666665
2023,0.808,3,-3,0.8030000000000002
