index,CAP,GW,Mix,No_CAP,Res,SW
1853,,,,,,
1856,,,,,,
1857,,,,,,
1860,,,,,,
1864,,,,,,
1868,,,,,,
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,60.0,,,,
1882,,,,,,
1883,,65.0,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,,
1899,,,,,,
1900,,18.0,,75.0,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,0.0,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,90.0,70.0,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,0.0,116.25,,,,
1916,,,,,,
1917,,22.0,,,,
1918,,80.0,,,,
1919,,170.0,,,,
1920,,250.0,,,,
1921,,,,,,
1922,229.0,,,,,
1923,221.0,,,,,
1924,,,,,,
1925,20.75,1.0,,,,
1926,90.0,,,,,
1927,0.0,,,,,
1928,113.0,40.0,,,,
1929,60.0,123.0,,,,
1930,87.51333333333332,55.0,,26.0,,28.0
1931,77.65166666666666,,,,,
1932,79.33200000000001,,,,,
1933,92.57000000000001,,,,,
1934,87.4342857142857,,,22.58,,
1935,107.056,175.5,,121.0,,
1936,118.52727272727272,230.0,,,,
1937,107.66583333333334,218.0,,96.0,,
1938,91.16624999999999,136.0,,37.873333333333335,,
1939,114.44636363636363,28.69,51.35666666666666,17.331666666666667,,
1940,111.82941176470588,98.48444444444445,44.446,44.16416666666667,,
1941,123.891,44.02272727272727,36.606,45.18545454545454,,
1942,132.9972222222222,57.952,40.945,48.189090909090915,,
1943,138.1677777777778,256.735,41.2425,41.725833333333334,,54.4
1944,124.48,98.24222222222221,67.37,35.14071428571428,,
1945,160.8055,95.61615384615385,41.8925,35.15,,68.645
1946,154.06657142857142,75.78285714285714,40.024,53.933157894736844,,64.31
1947,169.36711111111111,58.93214285714286,34.94,70.0978947368421,,65.11500000000001
1948,154.24615384615385,59.42857142857143,129.18333333333334,63.525217391304345,,62.22
1949,142.03621212121212,108.34639999999999,46.73,55.72291666666666,,58.915000000000006
1950,155.37636363636364,67.32882352941176,38.726,59.412142857142854,,58.715
1951,179.13386138613862,103.8185,51.88857142857143,50.4492,,58.155
1952,172.07256944444444,89.80414634146341,45.876666666666665,58.75206896551724,,55.435
1953,167.7962222222222,109.26321428571428,50.15428571428571,57.213,,53.74
1954,176.77057692307693,112.76492307692308,53.82857142857143,59.24078947368421,,43.666666666666664
1955,183.1504469273743,92.99763636363636,47.6175,58.11638888888889,,41.38666666666666
1956,171.48932960893856,95.41250000000001,48.32666666666666,65.23272727272727,70.0,40.32666666666667
1957,185.3735922330097,108.00210526315789,49.47555555555556,68.73029411764706,,38.45333333333333
1958,173.33108695652174,126.95796874999999,43.928333333333335,63.165217391304346,,37.45333333333333
1959,183.4618137254902,127.6327536231884,59.117777777777775,78.46823529411765,,37.166666666666664
1960,184.05584112149532,124.09485714285714,49.551249999999996,62.346756756756754,,39.21666666666667
1961,182.59773869346733,132.64779411764704,52.47375,80.71666666666667,34.65,32.91
1962,197.35646825396827,154.8751724137931,51.738749999999996,73.35617647058824,20.0,32.56666666666667
1963,199.35802083333334,191.92210526315787,46.39142857142857,88.4865,14.78,38.727999999999994
1964,196.43054166666667,160.07771739130433,207.4923076923077,78.28255813953488,14.68,45.0725
1965,203.91361111111112,212.67685185185184,96.54400000000001,89.595,15.35,43.195
1966,220.9881589958159,195.65931623931624,64.99833333333333,93.87219512195122,25.87,63.36
1967,208.4395431472081,199.66278846153847,91.377,100.72524999999999,16.75,71.3875
1968,206.7377130044843,212.26013793103448,85.94909090909091,98.23439024390244,16.63,104.64999999999999
1969,215.5099099099099,178.79325757575756,121.32545454545453,113.00181818181818,18.03,62.25
1970,215.62954954954955,189.18560606060606,76.58333333333333,124.74466666666667,15.1,61.64200000000001
1971,257.29075376884424,194.37322368421053,80.49272727272728,135.52684210526317,12.58,61.40999999999999
