index,CAP,GW,Mix,No_CAP,Res,SW
1853,,,,,,
1856,,,,,,
1857,,,,,,
1860,,,,,,
1864,,,,,,
1868,,,,,,
1870,,,,,,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,60.0,,,,
1882,,,,,,
1883,,65.0,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,,
1895,,,,,,
1896,,,,,,
1897,,,,,,
1898,,,,,,
1899,,,,,,
1900,,18.0,,75.0,,
1901,,,,,,
1902,,,,,,
1903,,,,,,
1904,,0.0,,,,
1905,,,,,,
1906,,,,,,
1907,,,,,,
1908,,,,,,
1909,,,,,,
1910,,,90.0,70.0,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,0.0,116.25,,,,
1916,,,,,,
1917,,22.0,,,,
1918,,80.0,,,,
1919,,170.0,,,,
1920,,250.0,,,,
1921,,,,,,
1922,229.0,,,,,
1923,221.0,,,,,
1924,,,,,,
1925,20.75,1.0,,,,
1926,90.0,,,,,
1927,0.0,,,,,
1928,113.0,40.0,,,,
1929,65.23333333333333,123.0,,,,
1930,88.80166666666666,55.0,,26.0,,28.0
1931,78.79377777777778,,,,,
1932,80.97618253968253,,,,,
1933,94.56864583333333,,,,,
1934,88.72230158730159,,,22.58,,
1935,107.62896666666666,175.5,,121.0,,
1936,118.79348484848484,230.0,,,,
1937,109.30980092592593,218.0,,96.0,,
1938,104.1530625,136.0,,40.57833333333334,,
1939,114.727012987013,28.69,51.528333333333336,17.554166666666667,,
1940,116.42377450980392,98.48444444444445,45.40695670995671,45.418124999999996,,
1941,124.88900000000001,44.02272727272727,37.398607142857145,50.287181818181814,,
1942,134.33435185185186,57.952,42.7975,49.222727272727276,,
1943,139.85677777777778,265.1483333333333,42.05375000000001,45.881148989898996,,54.64
1944,125.26012987012987,100.00314814814814,67.37,36.612052900107415,,
1945,162.87725,95.8025,42.49375,38.25692482517482,,69.15583333333335
1946,157.44317437641723,76.47269897959184,42.011833333333335,56.33604266347688,,67.2875
1947,173.32618148148148,59.28785714285714,36.56625,71.22357074504443,,65.54583333333333
1948,160.6844139194139,59.51380952380952,129.70277777777778,65.19952594081111,,62.69250000000001
1949,145.34186111111111,108.5397,47.81777777777777,57.764250000000004,,59.755
1950,158.99199134199134,68.14849509803922,41.074,61.07763095238095,,58.8025
1951,183.79530528052805,104.342175,53.40285714285715,51.141753333333334,,58.2425
1952,175.1245023148148,90.62139430894308,49.253750000000004,60.32175800492611,,55.5225
1953,171.17690987654322,111.0588244047619,52.56071428571429,57.972417929292924,,53.9425
1954,179.17910683760684,114.0819923076923,55.450833333333335,61.47065799113168,,43.79
1955,184.78448975791434,93.84896363636364,68.17054166666667,59.199384680134685,,41.53333333333333
1956,172.61517690875232,97.40696605725624,52.86533068783069,66.94217171717172,70.0,40.46
1957,187.01766990291262,112.66995029239766,51.176573232323236,69.6966862745098,,38.78515151515152
1958,174.26101811594202,138.4856171875,45.52412698412698,64.70503623188407,,37.723333333333336
1959,183.52200980392155,129.5437204968944,60.728809523809524,78.90882352941176,,37.36333333333334
1960,184.4316355140187,124.60073809523809,51.528645833333336,63.55884684684684,,39.40282051282052
1961,183.19268844221105,132.9486519607843,54.312107142857144,81.77027777777776,34.65,33.11974358974359
1962,199.0637881708239,156.69086206896552,52.9278125,74.3185294117647,20.0,33.472500000000004
1963,201.51187187322844,193.07724310776942,47.73321428571428,89.45500000000001,16.800833333333333,38.84649230769231
1964,198.4366156926407,161.18574094202899,210.95507692307694,79.98761627906975,17.588333333333335,45.16671153846154
1965,206.13515605029892,213.37304124579126,99.99116666666667,90.26694444444445,16.34,45.07125
1966,222.75291471952036,196.98036752136753,66.54295454545455,94.82723577235772,26.705454545454543,63.3845
1967,209.7403408907787,200.89372596153845,92.8535,101.64085576923077,18.03,73.22852272727272
1968,208.23877055306428,214.44726108374385,87.5089393939394,99.21900406504065,17.995833333333334,104.72069444444445
1969,216.12067326942326,179.01333964646466,122.63606060606061,113.92828282828282,18.711666666666666,62.37583333333333
