index,R,Res,U
1853,,,
1856,,,
1857,,,
1860,,,
1864,,,
1868,,,
1870,,,
1871,,,
1872,,,
1873,,,
1875,,,
1876,,,
1877,,,
1878,,,
1879,,,
1880,,,
1881,,,60.0
1882,,,
1883,,,65.0
1884,,,
1885,,,
1886,,,
1887,,,
1888,,,
1889,,,
1890,,,
1891,,,
1892,,,
1893,,,
1894,,,
1895,,,
1896,,,
1897,,,
1898,,,
1899,,,
1900,75.0,,18.0
1901,,,
1902,,,
1903,,,
1904,,,0.0
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,70.0,,90.0
1911,,,
1912,,,
1913,,,
1914,,,
1915,0.0,,116.25
1916,,,
1917,,,22.0
1918,,,80.0
1919,,,170.0
1920,,,250.0
1921,,,
1922,229.0,,
1923,221.0,,
1924,,,
1925,20.75,,1.0
1926,90.0,,
1927,0.0,,
1928,113.0,,40.0
1929,69.0,,123.0
1930,68.72666666666666,,49.6
1931,80.21333333333332,,
1932,83.408,,
1933,97.3,,
1934,81.57125,,
1935,110.37333333333333,,175.5
1936,119.11818181818181,,230.0
1937,109.14384615384614,,218.0
1938,97.05181818181818,,136.0
1939,80.72529411764705,,45.947500000000005
1940,92.62344827586206,,79.80357142857143
1941,101.34,,42.291250000000005
1942,103.22103448275861,,52.04
1943,89.19380952380952,,112.28428571428572
1944,76.7516,,101.393
1945,115.89696969696969,,82.15631578947368
1946,124.80481481481482,,68.40285714285714
1947,146.31390625,,55.9755
1948,136.1208,,79.20863636363636
1949,125.03122222222221,,94.89818181818181
1950,136.1162857142857,,65.38121951219513
1951,161.3263492063492,,89.54068965517241
1952,159.1314450867052,,85.41326530612245
1953,153.50787878787878,,104.96046153846154
1954,158.40005154639175,,107.44946666666667
1955,165.3339069767442,,91.75272727272727
1956,157.38061320754719,70.0,93.06015384615384
1957,172.02416666666667,,108.48897727272728
1958,163.15270531400967,,135.2332876712329
1959,168.71105042016808,,120.2632098765432
1960,167.17131474103584,,114.92209876543211
1961,170.5344541484716,34.65,121.65278481012658
1962,185.9437762237762,20.0,146.20846938775512
1963,189.91246951219512,18.58,177.75420560747665
1964,182.41798586572438,19.36,164.1273394495413
1965,191.5028231292517,17.33,199.4790163934426
1966,205.69792857142858,27.86,181.6691791044776
1967,192.58755274261603,20.07,188.6884745762712
1968,192.7551515151515,19.54,203.77728395061726
1969,203.69909803921567,19.505000000000003,171.1789864864865
1970,205.77837301587303,17.9,176.2296644295302
1971,241.23071729957806,19.05,184.25261904761905
1972,239.13048128342245,18.5,186.99035928143712
1973,237.4424,17.91,199.07970760233917
1974,249.85163265306122,28.05,195.4477906976744
1975,257.9099069767442,49.635000000000005,181.75134502923976
1976,231.41505263157896,48.67,188.69847290640394
1977,270.5165740740741,48.94,179.9848924731183
1978,244.7339393939394,17.08,162.463661971831
1979,266.739674796748,51.37,196.24995433789954
1980,262.92108,30.360000000000003,223.14953757225436
1981,237.72160714285715,45.385000000000005,169.21756097560976
1982,232.53097902097903,52.5,205.92879069767443
1983,269.7014432989691,16.9,198.18107569721116
1984,261.8209748427673,42.07,196.1345627376426
1985,261.84813271604935,34.63333333333333,211.62193548387094
1986,260.89680456490726,39.574999999999996,196.60264367816092
1987,259.6599320652174,45.974000000000004,207.54310218978102
1988,278.51919642857143,44.239999999999995,203.61756578947367
1989,268.0045964912281,46.1,191.35235988200589
1990,254.20182300884954,44.00333333333333,199.75939577039276
1991,266.78612903225803,42.9,231.71885185185184
1992,262.9682018348624,47.2,204.75263788968826
1993,256.6277438136827,41.4,211.42322499999997
1994,260.26224460431655,41.50428571428571,212.54618534482756
1995,243.96304709141276,35.23428571428571,218.70196759259258
1996,264.3341122913505,40.156,226.02444155844157
1997,254.2095945945946,43.90714285714285,221.7260459770115
1998,259.6302132701422,43.61666666666667,221.9878193832599
1999,244.98744974874373,42.16166666666667,221.5464772727273
2000,256.87019300361885,43.957142857142856,227.66316037735848
2001,243.39578947368423,43.166,228.96244060475163
2002,253.13919683257916,52.266,220.39911764705883
2003,254.08528455284554,45.94571428571429,224.10323293172692
2004,249.73016198704104,43.33142857142857,219.7997175141243
2005,252.87588177339902,38.126666666666665,222.67656686626748
2006,257.82843784378434,55.92,229.965
2007,246.52615004935834,49.32,222.33251239669423
2008,242.11050463439753,47.145,216.14668674698797
2009,245.68729678638942,34.660000000000004,231.62742268041237
2010,243.0764015151515,34.80571428571428,223.71521172638438
2011,242.56824207492795,41.7825,226.33154975530178
2012,241.23821650399287,43.0075,226.07928692699494
2013,241.95194174757282,44.645,225.51273734177212
2014,243.85867992766728,44.2425,220.92318864774623
2015,240.55410176531672,45.01428571428572,225.59913821138213
2016,240.27286821705428,45.6,223.7550753768844
2017,240.1796777905639,46.06428571428571,224.40758793969846
2018,236.40026851851852,46.628571428571426,233.50067453625633
2019,235.5817924528302,46.01428571428572,228.71969018932876
2020,236.46254736842107,46.65714285714285,233.39312829525483
2021,239.28149546827797,45.68571428571429,241.05824275362318
2022,235.2101824212272,59.05,232.35948103792416
2023,217.397806122449,44.26666666666667,235.52724409448817
