index,R,Res,U
1853,,,
1856,,,
1857,,,
1860,,,
1864,,,
1868,,,
1870,,,
1871,,,
1872,,,
1873,,,
1875,,,
1876,,,
1877,,,
1878,,,
1879,,,
1880,,,
1881,,,60.0
1882,,,
1883,,,65.0
1884,,,
1885,,,
1886,,,
1887,,,
1888,,,
1889,,,
1890,,,
1891,,,
1892,,,
1893,,,
1894,,,
1895,,,
1896,,,
1897,,,
1898,,,
1899,,,
1900,75.0,,18.0
1901,,,
1902,,,
1903,,,
1904,,,0.0
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,70.0,,90.0
1911,,,
1912,,,
1913,,,
1914,,,
1915,0.0,,116.25
1916,,,
1917,,,22.0
1918,,,80.0
1919,,,170.0
1920,,,250.0
1921,,,
1922,229.0,,
1923,221.0,,
1924,,,
1925,20.75,,1.0
1926,90.0,,
1927,0.0,,
1928,113.0,,40.0
1929,60.0,,123.0
1930,67.00888888888888,,49.6
1931,77.65166666666666,,
1932,79.33200000000001,,
1933,92.57000000000001,,
1934,79.3275,,
1935,109.38,,175.5
1936,118.52727272727272,,230.0
1937,106.76846153846154,,218.0
1938,76.63181818181819,,136.0
1939,80.1705882352941,,45.69
1940,83.83000000000001,,79.18499999999999
1941,95.96322580645162,,41.705
1942,100.82862068965518,,50.39333333333333
1943,83.05809523809523,,104.69142857142857
1944,74.45,,95.155
1945,111.30484848484848,,81.46684210526315
1946,118.83444444444443,,66.17619047619048
1947,139.8965625,,54.751999999999995
1948,126.42506666666665,,78.70636363636363
1949,119.01933333333334,,94.14757575757575
1950,129.78590476190476,,63.42048780487806
1951,153.60119047619048,,88.13448275862069
1952,153.07664739884393,,83.02244897959183
1953,147.69018181818183,,101.18923076923078
1954,153.74927835051545,,104.50026666666668
1955,162.214511627907,,85.15106060606061
1956,154.94938679245283,70.0,88.5236923076923
1957,168.84912500000002,,99.64545454545456
1958,161.0904347826087,,116.45534246575342
1959,168.46273109243697,,116.66938271604937
1960,166.11466135458167,,113.5888888888889
1961,169.2508733624454,34.65,120.7413924050633
1962,182.61517482517485,20.0,142.71173469387756
1963,185.8371036585366,14.78,175.24280373831775
1964,178.47872791519436,14.68,161.51229357798167
1965,187.58238095238096,15.35,197.60098360655738
1966,202.37475,25.87,179.0217910447761
1967,190.25991561181434,16.75,186.13771186440678
1968,189.8868181818182,16.63,199.69790123456792
1969,202.24415686274511,18.03,170.58472972972973
1970,204.80992063492062,15.1,175.8369798657718
1971,237.76742616033755,12.58,182.9595238095238
1972,237.2819786096257,16.03,186.15502994011976
1973,232.44626666666667,16.22,195.1614035087719
1974,247.9747448979592,26.825,191.6318604651163
1975,255.7126511627907,48.96,180.1511111111111
1976,228.9164736842105,48.67,187.34054187192118
1977,264.66842592592593,48.94,178.60827956989246
1978,243.29363636363638,17.08,160.85981220657277
1979,260.5579674796748,51.37,192.75529680365295
1980,260.22823999999997,30.360000000000003,221.91381502890175
1981,236.37720238095238,45.385000000000005,166.16926829268291
1982,231.13024475524475,50.8,204.95623255813953
1983,267.64768041237113,16.9,195.23788844621512
1984,259.15643081761004,42.07,194.33779467680608
1985,253.38641975308641,33.766666666666666,209.2121863799283
1986,251.14865905848785,35.675,194.68927203065135
1987,249.8265760869565,43.019999999999996,205.30759124087592
1988,266.2276428571429,43.1,200.0975986842105
1989,264.0405087719298,41.34,189.50846607669618
1990,253.11585840707963,43.833333333333336,196.65178247734138
1991,263.5651240694789,42.575,229.5787037037037
1992,262.556880733945,47.040000000000006,203.73738609112712
1993,253.79636098981078,41.4,207.3668
1994,258.0207913669065,41.457142857142856,211.06719827586204
1995,242.256108033241,35.222857142857144,215.48824074074074
1996,262.32391502276175,40.156,225.0775844155844
1997,251.50370495495497,43.864285714285714,220.42749425287357
1998,253.6827606635071,43.61666666666667,220.6128414096916
1999,243.75977386934673,42.16166666666667,220.01882575757577
2000,255.3769601930036,43.957142857142856,224.1220990566038
2001,241.90766590389015,42.589999999999996,227.7758747300216
2002,251.85779411764707,52.013999999999996,219.2831674208145
2003,251.89548780487806,45.791428571428575,222.31973895582328
2004,247.32865010799134,43.25,218.62003766478344
2005,250.37285714285716,36.24166666666667,221.46251497005989
2006,256.23060506050604,53.61800000000001,228.61170454545453
2007,244.94209279368212,47.64333333333334,221.05685950413223
2008,240.24549948506694,45.6225,214.3968875502008
2009,244.06829867674858,34.378571428571426,230.1079209621993
2010,242.2278409090909,34.721428571428575,221.57413680781758
2011,241.39315081652256,41.76125,224.23644371941273
2012,239.5285803016859,43.00625,224.30147707979629
2013,240.44412621359226,44.59375,223.6825
2014,241.83470162748642,44.20625,219.51709515859764
2015,238.91741433021807,45.01428571428572,223.66091056910568
2016,237.87034883720932,45.56714285714286,222.22934673366836
2017,238.13866513233603,46.06428571428571,222.76251256281407
2018,234.06720370370368,46.628571428571426,231.73556492411467
2019,233.10130188679247,46.01428571428572,226.6760413080895
2020,234.85333684210528,46.65714285714285,230.70708260105445
2021,236.9582024169184,45.642857142857146,239.43052536231883
2022,232.29101160862356,58.275,229.77780439121756
2023,216.7826530612245,44.26666666666667,235.43346456692913
