index,R,Res,U
1853,,,
1856,,,
1857,,,
1860,,,
1864,,,
1868,,,
1870,,,
1871,,,
1872,,,
1873,,,
1875,,,
1876,,,
1877,,,
1878,,,
1879,,,
1880,,,
1881,,,60.0
1882,,,
1883,,,65.0
1884,,,
1885,,,
1886,,,
1887,,,
1888,,,
1889,,,
1890,,,
1891,,,
1892,,,
1893,,,
1894,,,
1895,,,
1896,,,
1897,,,
1898,,,
1899,,,
1900,75.0,,18.0
1901,,,
1902,,,
1903,,,
1904,,,0.0
1905,,,
1906,,,
1907,,,
1908,,,
1909,,,
1910,70.0,,90.0
1911,,,
1912,,,
1913,,,
1914,,,
1915,0.0,,116.25
1916,,,
1917,,,22.0
1918,,,80.0
1919,,,170.0
1920,,,250.0
1921,,,
1922,229.0,,
1923,221.0,,
1924,,,
1925,20.75,,1.0
1926,90.0,,
1927,0.0,,
1928,113.0,,40.0
1929,65.23333333333333,,123.0
1930,67.86777777777777,,49.6
1931,78.79377777777778,,
1932,80.97618253968253,,
1933,94.56864583333333,,
1934,80.45451388888888,,
1935,109.85747222222221,,175.5
1936,118.79348484848484,,230.0
1937,108.2859700854701,,218.0
1938,86.81450000000001,,136.0
1939,80.43071428571429,,45.81875
1940,87.04212643678161,,79.52819882498454
1941,98.41738709677419,,41.95268973214286
1942,102.05063218390805,,51.21666666666667
1943,86.15641847041847,,107.59309523809523
1944,75.61720676691729,,96.73983333333334
1945,113.78439462809918,,81.77469298245614
1946,121.86844284779008,,67.39295011337869
1947,143.01446891910174,,55.36933333333334
1948,131.40238160597573,,78.94522727272727
1949,121.98783148148149,,94.54270202020203
1950,132.88149523809525,,64.39082520325204
1951,157.47515608465608,,88.86718965517242
1952,155.88011165015138,,84.12336054421769
1953,150.59427497704317,,103.00160256410257
1954,156.1228127336581,,105.79807111111111
1955,163.7562861169838,,88.35844444444444
1956,156.16607704402517,70.0,90.66710897435898
1957,170.39719722222222,,103.86205495293848
1958,162.0881312399356,,126.70403098499673
1959,168.57726890756302,,118.48353086419752
1960,166.61373439575033,,114.2282628996518
1961,169.9059097525473,34.65,121.19448634487875
1962,184.23393223443225,20.0,144.44841836734693
1963,187.84639969356647,16.800833333333333,176.36171081099587
1964,180.43906454499566,17.588333333333335,162.86395424605973
1965,189.58255439231968,16.34,198.56135345255836
1966,204.02094030225726,26.705454545454543,180.31448473541386
1967,191.49570205169888,18.03,187.4101406009245
1968,191.30767045454544,17.995833333333334,201.7640454144621
1969,202.89577568292276,18.711666666666666,170.88268018018016
1970,205.28386415898916,16.8125,176.04312143114157
1971,239.60293776371307,17.12666666666667,183.59842657342656
1972,238.2081506238859,17.41090909090909,186.58933429843609
1973,234.9421148148148,17.09,197.1315253411306
1974,248.9229986382665,27.477083333333333,193.52740748834498
1975,256.7876885130373,49.36,180.92971294421952
1976,230.16184771807139,48.67,188.02308681466315
1977,267.6208297181214,48.94,179.30709401709402
1978,244.06121905511515,17.08,161.64869189105104
1979,263.3628833810724,51.37,194.3226478938139
1980,261.51901383762436,30.360000000000003,222.53762682885517
1981,237.04319891539237,45.385000000000005,167.66827962200404
1982,231.76255476972523,51.650000000000006,205.4351016696482
1983,268.8563857462698,16.9,196.75430079681274
1984,260.7529674780147,42.07,195.13898975127114
1985,257.4316027362645,34.199999999999996,210.41415352449224
1986,255.96860147410877,37.625,195.62833007326748
1987,254.65606107990232,44.497,206.3836295620438
1988,272.2979751984127,43.67,201.83934050621346
1989,265.9601581758884,43.72,190.4497961324156
1990,253.6591592198362,43.91833333333333,198.0831471191196
1991,265.1562697477254,42.737500000000004,230.63118271604938
1992,262.77452477064224,47.120000000000005,204.2439776179057
1993,255.07463896753416,41.4,209.16875892857144
1994,259.1166265844467,41.480714285714285,211.8080351370074
1995,243.06162874290993,35.228095238095236,216.68504570275402
1996,263.32140111279716,40.156,225.60614316635747
1997,252.85525994744745,43.885714285714286,221.10698913851155
1998,256.4197466998084,43.61666666666667,221.2666440283896
1999,244.38919292063323,42.16166666666667,220.8187021329365
2000,256.15717877116856,43.957142857142856,225.69300615828092
2001,242.72551318513675,42.887904761904764,228.38517748216506
2002,252.6104561247576,52.17466666666667,219.86755446024563
2003,253.0924748323572,45.865833333333335,223.21206194619748
2004,248.64782876941274,43.281904761904755,219.2029555852183
2005,251.7204454296661,37.18416666666667,222.05766331439685
2006,257.10565028725097,54.766,229.2156056235431
2007,245.81509256362813,48.47291666666666,221.6983618215118
2008,241.2629515425583,46.387,215.28754047324833
2009,244.9293194331923,34.54253968253968,230.86712088269692
2010,242.65430687079123,34.762,222.63826540967176
2011,241.98738776817163,41.77125,225.26456124327007
2012,240.39268603963325,43.006875,225.18988285822834
2013,241.1864415626445,44.62583333333333,224.59867115207228
2014,242.86558555067597,44.224375,220.2500029383527
2015,239.62304462831176,45.01428571428572,224.4919421096519
2016,239.05918781505486,45.58464285714286,222.98697090151612
2017,239.161241098661,46.06428571428571,223.5715849056025
2018,235.12416061064158,46.628571428571426,232.62204827802887
2019,234.18561566132553,46.01428571428572,227.7415963664849
2020,235.61522315176052,46.65714285714285,231.9957823527771
2021,238.2075886922745,45.66666666666667,240.25705314009664
2022,233.73675014777004,58.54,231.05755755156355
2023,217.06561224489795,44.26666666666667,235.48035433070868
