Combo_ID,LEN
60001,20.0
85358,20.0
85761,23.0
85799,24.0
85863,69.0
85970,20.0
86280,22.0
86642,23.0
87174,23.0
87570,22.0
87599,65.0
87668,25.0
200027,52.0
200197,58.0
201059,15.0
202398,24.0
208802,50.0
208822,17.0
209530,52.0
209531,46.0
211839,53.0
212452,107.0
214277,50.0
216391,47.0
223609,20.0
500248,24.0
500322,20.0
500519,19.0
500714,31.0
500951,24.0
500994,76.0
501132,15.0
502179,20.0
502180,21.0
502181,17.0
502420,23.0
502645,22.0
502760,24.0
503113,22.0
503653,19.0
503959,22.0
504485,23.0
504558,22.0
504619,21.0
504655,19.0
504684,18.0
504721,21.0
504783,23.0
504989,22.0
504992,44.0
504993,48.0
504994,49.0
504996,44.0
505014,18.0
505096,21.0
505167,21.0
505244,23.0
505327,18.0
505333,23.0
505400,20.0
505578,20.0
505579,20.0
505703,51.0
505767,21.0
505967,23.0
506309,18.0
506340,79.0
506506,91.0
506580,18.0
506602,22.0
506603,62.0
506605,76.0
506979,19.0
507177,16.0
507248,18.0
508186,21.0
508422,48.0
508652,46.0
509095,51.0
509106,20.0
509491,69.0
509495,81.0
509587,42.0
509590,49.0
509660,70.0
509984,18.0
510003,20.0
510018,77.0
510465,19.0
510879,19.0
510880,20.0
510904,20.0
510925,23.0
511301,21.0
511305,21.0
511557,20.0
511633,24.0
511771,23.0
512259,23.0
512430,81.0
512431,79.0
512462,30.0
512922,20.0
512995,20.0
513567,20.0
513657,20.0
513674,21.0
513675,19.0
513721,23.0
513868,22.0
513936,28.0
514006,21.0
515720,23.0
516563,74.0
516564,19.0
516565,23.0
516935,32.0
516994,19.0
517028,24.0
517029,19.0
517597,18.0
518331,22.0
519004,24.0
519013,20.0
519065,21.0
519317,92.0
519320,76.0
519379,17.0
519687,93.0
519873,74.0
520439,22.0
520474,22.0
521125,21.0
521646,29.0
521996,20.0
522033,66.0
522034,75.0
522035,78.0
522072,15.0
522296,16.0
522310,21.0
522559,23.0
522705,20.0
522853,20.0
522890,21.0
523346,21.0
523380,21.0
523565,27.0
523815,20.0
523906,19.0
524009,24.0
524070,23.0
524200,23.0
524266,20.0
524267,21.0
524298,22.0
524344,22.0
524907,21.0
525162,21.0
525910,28.0
526251,21.0
526935,23.0
527324,18.0
527679,52.0
528552,32.0
529020,17.0
529277,20.0
529457,19.0
529522,25.0
529524,24.0
530628,20.0
532224,23.0
532813,25.0
533639,22.0
535213,25.0
536189,39.0
536357,17.0
536616,16.0
536623,73.0
536656,23.0
536967,28.0
536968,27.0
537998,21.0
539499,23.0
539629,21.0
540120,16.0
540148,22.0
540426,18.0
540451,17.0
540950,64.0
541012,22.0
541353,29.0
541372,78.0
541850,20.0
543019,218.0
545711,23.0
545863,21.0
546173,24.0
547292,20.0
548777,19.0
548995,39.0
550395,34.0
550757,20.0
552115,19.0
552116,20.0
552118,20.0
552697,21.0
553330,23.0
554078,22.0
555780,21.0
557247,27.0
558091,21.0
558499,20.0
559106,27.0
559217,20.0
559218,19.0
559219,19.0
559571,67.0
560334,23.0
560965,22.0
562286,25.0
563506,29.0
564420,21.0
564423,20.0
564424,19.0
564575,24.0
564894,15.0
564895,17.0
565161,28.0
565170,19.0
565329,23.0
565428,42.0
565552,19.0
566419,21.0
566939,20.0
567973,22.0
568934,15.0
568987,45.0
569182,20.0
569183,18.0
569386,20.0
569391,22.0
569560,28.0
569710,47.0
569837,19.0
569850,25.0
569852,18.0
570666,76.0
571659,47.0
571751,104.0
572698,24.0
573207,21.0
573600,25.0
573965,15.0
573966,16.0
573968,20.0
574110,199.0
574627,29.0
574763,22.0
575024,19.0
577330,50.0
578323,20.0
578532,30.0
579656,35.0
582261,30.0
582679,17.0
582687,19.0
582738,19.0
582989,20.0
